Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
OF	36	Josh Hamilton	LAA	496	72	21	79	4	0.26	0.322	0.452	$11.00	0.0080645161
OF	64	Josh Reddick	OAK	467	64	18	63	8	0.238	0.313	0.418	$0.00	0.017130621
OF	48	Josh Willingham	MIN	500	69	23	78	2	0.236	0.341	0.43	$6.00	0.004
OF	122	Juan Lagares	NYM	360	35	5	36	7	0.25	0.289	0.361	-$22.00	0.0194444444
OF	115	Juan Pierre	FA	305	39	2	20	20	0.269	0.312	0.334	-$19.00	0.0655737705
OF	78	Junior Lake	CHC	421	49	11	45	16	0.261	0.307	0.406	-$7.00	0.0380047506
OF	137	Justin Maxwell	KAN	191	27	7	25	5	0.236	0.308	0.419	-$27.00	0.0261780105
OF	84	Justin Ruggiano	CHC	368	46	14	48	13	0.247	0.316	0.421	-$8.00	0.035326087
OF	20	Justin Upton	ATL	517	85	22	70	12	0.265	0.353	0.455	$18.00	0.0232108317
OF	51	Khris Davis	MIL	448	60	21	65	8	0.254	0.331	0.458	$4.00	0.0178571429
OF	63	Kole Calhoun	LAA	450	61	15	60	9	0.258	0.325	0.42	$0.00	0.02
OF	158	Laynce Nix	FA	218	23	6	24	2	0.225	0.281	0.367	-$32.00	0.0091743119
OF	43	Leonys Martin	TEX	481	66	10	57	31	0.268	0.322	0.407	$8.00	0.0644490644
OF	113	LJ Hoes	HOU	367	43	4	33	10	0.256	0.328	0.346	-$18.00	0.0272479564
OF	163	Logan Schafer	MIL	190	20	3	20	4	0.242	0.301	0.358	-$34.00	0.0210526316
OF	85	Lorenzo Cain	KAN	426	53	7	48	14	0.256	0.312	0.371	-$8.00	0.0328638498
OF	99	Marcell Ozuna	MIA	392	46	9	49	6	0.247	0.291	0.393	-$13.00	0.0153061224
OF	22	Mark Trumbo	ARI	524	71	29	89	5	0.252	0.307	0.475	$17.00	0.0095419847
OF	65	Marlon Byrd	PHI	464	59	15	63	2	0.267	0.313	0.435	$0.00	0.0043103448
OF	194	Matt den Dekker	NYM	34	3	1	3	1	0.176	0.222	0.294	-$46.00	0.0294117647
OF	12	Matt Holliday	STL	514	85	21	85	5	0.278	0.363	0.465	$22.00	0.0097276265
OF	94	Matt Joyce	TB	324	47	13	46	5	0.241	0.333	0.423	-$12.00	0.0154320988
OF	17	Matt Kemp	LAD	483	77	21	77	15	0.269	0.336	0.46	$18.00	0.0310559006
